"1","Simple landing page","Page with information about the tool"
"2","User registration","Email ID"
"3","Login","Native login + Social media login (Google, FB, Linkedin)"
"4","Assessment questions (scroll mode)","Auto-scrolling. Cant go to next question if current one unanswered."
"5","Auto save feature","All responses must be saved and assessment can be continued later"
"6","Summary Results page",""
"7","Share results option","Should be shareable to Insta, FB, Twitter, Linkedin"
"8","Email/Whatsapp detailed report","PDF format sent on mail/whatsapp"
"9","Gift assessment","Mail, whatsapp"
"10","Payment gateway","Payment with voucher option"
"11","Responsive pages",""
"12","High speed and effects",""
"13","Great UI/UX",""
"14","Database","Multi-table database"
"15","Report extraction","Data reporting layer - User table/Responses table/Persona table"
"16","Admin page","Facility to change centroids, weights, etc."
"17","Country recognition","Currency must change depending on India vs other geographies. INR vs USD"
"18","Business Cpanel","Send assessment links
Store assessment results"
