Trait,Category,Category Code,Scoring Basis,Low Score Range,Low Tag,Low Meaning,Medium Score Range,Medium Tag,Medium Meaning,High Score Range,High Tag,High Meaning
Openness,Nutritional Curiosity,nutritional_curiosity,Average score after reverse-key adjustment,1.00–2.99,nutritional_curiosity_low,Lower curiosity toward food exploration and nutrition learning.,3.00–4.99,nutritional_curiosity_medium,Moderate food curiosity; selective interest in trying or learning.,5.00–7.00,nutritional_curiosity_high,"High curiosity toward food exploration, healthy-food novelty, and nutrition learning."
Openness,Exercise Exploration,exercise_exploration,Average score after reverse-key adjustment,1.00–2.99,exercise_exploration_low,Lower interest in exploring new ways to stay active.,3.00–4.99,exercise_exploration_medium,Moderate interest in new movement options.,5.00–7.00,exercise_exploration_high,High interest in exploring different forms of movement and activity.
Openness,Recovery Exploration,recovery_exploration,Average score after reverse-key adjustment,1.00–2.99,recovery_exploration_low,Lower curiosity about recovery methods or recovery learning.,3.00–4.99,recovery_exploration_medium,Moderate recovery curiosity; may explore selectively.,5.00–7.00,recovery_exploration_high,High curiosity about recovery approaches and ways to recharge.
Openness,Mind-Body Exploration,mind_body_exploration,Average score after reverse-key adjustment,1.00–2.99,mind_body_exploration_low,"Lower interest in reflection, mindfulness, or self-awareness practices.",3.00–4.99,mind_body_exploration_medium,Moderate interest in mind-body practices.,5.00–7.00,mind_body_exploration_high,"High interest in reflection, mindfulness, and mental wellness exploration."
Openness,Wellness Learning Orientation,wellness_learning_orientation,Average score after reverse-key adjustment,1.00–2.99,wellness_learning_orientation_low,Lower tendency to learn before making wellness choices.,3.00–4.99,wellness_learning_orientation_medium,Moderate learning orientation; may seek information when needed.,5.00–7.00,wellness_learning_orientation_high,"High tendency to learn, compare, and understand before wellness decisions."
Openness,Wellness Adaptability,wellness_adaptability,Average score after reverse-key adjustment,1.00–2.99,wellness_adaptability_low,Lower willingness to change wellness habits or approaches.,3.00–4.99,wellness_adaptability_medium,Moderate adaptability; may change when benefits are clear.,5.00–7.00,wellness_adaptability_high,High flexibility and willingness to update wellness habits.
Conscientiousness,Meal Planning Discipline,meal_planning_discipline,Average score after reverse-key adjustment,1.00–2.99,meal_planning_discipline_low,Lower planning around food decisions.,3.00–4.99,meal_planning_discipline_medium,Moderate meal planning; may plan when convenient.,5.00–7.00,meal_planning_discipline_high,High tendency to plan food choices ahead.
Conscientiousness,Workout Adherence,workout_adherence,Average score after reverse-key adjustment,1.00–2.99,workout_adherence_low,Lower follow-through on physical activity intentions.,3.00–4.99,workout_adherence_medium,Moderate follow-through; consistency may depend on circumstances.,5.00–7.00,workout_adherence_high,High tendency to follow through on activity plans.
Conscientiousness,Sleep Routine Consistency,sleep_routine_consistency,Average score after reverse-key adjustment,1.00–2.99,sleep_routine_consistency_low,Lower tendency to maintain steady sleep routines.,3.00–4.99,sleep_routine_consistency_medium,Moderate sleep routine consistency.,5.00–7.00,sleep_routine_consistency_high,High tendency to maintain and protect sleep routines.
Conscientiousness,Progress Tracking,progress_tracking,Average score after reverse-key adjustment,1.00–2.99,progress_tracking_low,Lower tendency to monitor wellness progress.,3.00–4.99,progress_tracking_medium,Moderate interest in checking progress.,5.00–7.00,progress_tracking_high,"High tendency to track, review, and monitor wellness improvement."
