#,Category ID,Category Description,Q.ID,Question,Include
1,ON,Openness Nutrition,ON1,"I enjoy trying out new types of diets or eating styles, even if they're unfamiliar.",
2,ON,Openness Nutrition,ON2,I seek out unusual or exotic ingredients when I cook or eat out.,
3,ON,Openness Nutrition,ON3,I’m curious about how food affects not just my body but also my mood and mind.,
4,ON,Openness Nutrition,ON4,I like to experiment with new recipes rather than sticking to familiar meals.,
5,ON,Openness Nutrition,ON5,I am open to switching my diet based on new research or trends.,
6,ON,Openness Nutrition,ON6,I actively read or watch content about innovative or holistic nutrition approaches.,
7,ON,Openness Nutrition,ON7,I’m comfortable changing my eating habits if I believe it might benefit my well-being.,
8,OP,Openness Physical Activity,OP1,"I enjoy trying out new forms of physical activity, even if I’m not good at them yet.",
9,OP,Openness Physical Activity,OP2,I prefer workout routines that include variety and creativity over repetition.,
10,OP,Openness Physical Activity,OP3,"I am open to exploring unconventional fitness methods like dance, martial arts, or acrobatics.",
11,OP,Openness Physical Activity,OP4,I enjoy setting fitness goals that challenge me to try something new.,
12,OP,Openness Physical Activity,OP5,"I’m curious about how different types of training (e.g. HIIT, yoga, calisthenics) affect my body.",
13,OP,Openness Physical Activity,OP6,I enjoy learning the science behind physical training and body performance.,
14,OP,Openness Physical Activity,OP7,"I like switching up my workout environment — outdoors, gym, home, etc.",
15,OR,Openness Rest,OR1,I’ve experimented with different sleep routines to see what works best for me.,
16,OR,Openness Rest,OR2,I am willing to adjust my rest habits based on new insights about recovery and performance.,
17,OR,Openness Rest,OR3,I explore tools like wearables or sleep-tracking apps to improve my rest quality.,
18,OR,Openness Rest,OR4,"I’m open to practices like cold exposure, massage, or stretching for recovery.",
19,OR,Openness Rest,OR5,"I consider rest as an evolving part of wellness, not just “doing nothing.”",
20,OR,Openness Rest,OR6,"I’ve tried or am open to trying non-traditional recovery practices (e.g., float therapy, biohacking sleep).",
21,OM,Openness Mental Wellness,OM1,"I’m interested in mindfulness, journaling, or other self-awareness practices.",
22,OM,Openness Mental Wellness,OM2,I enjoy reading or listening to content that challenges my thinking about health or life.,
23,OM,Openness Mental Wellness,OM3,"I see wellness as not just physical, but also emotional and mental evolution.",
24,OM,Openness Mental Wellness,OM4,"I’m open to coaching, therapy, or guided introspection to improve my mindset.",
25,OM,Openness Mental Wellness,OM5,I reflect on how my beliefs and emotions affect my health behaviors.,
26,OM,Openness Mental Wellness,OM6,"I like exploring unfamiliar wellness philosophies, even if they’re outside the mainstream.",
27,OM,Openness Mental Wellness,OM7,"I believe growth in wellness comes from trying new ideas, even at the risk of failure.",
28,CN,Concientousness Nutrition,CN1,I track what I eat to ensure it aligns with my wellness goals.,
29,CN,Concientousness Nutrition,CN2,I stick to a consistent eating schedule most days.,
30,CN,Concientousness Nutrition,CN3,I plan meals in advance rather than making spontaneous food choices.,
31,CN,Concientousness Nutrition,CN4,I avoid junk food or indulgences even when tempted.,
32,CN,Concientousness Nutrition,CN5,I follow my nutrition commitments even when I’m busy or stressed.,
33,CP,Concientousness Physical Activity,CP1,I follow a consistent workout routine without skipping sessions.,
34,CP,Concientousness Physical Activity,CP2,I set specific fitness goals and track my progress over time.,
35,CP,Concientousness Physical Activity,CP3,I prepare my workout gear or schedule in advance.,
36,CP,Concientousness Physical Activity,CP4,I rarely let mood or weather interfere with my exercise plans.,
37,CP,Concientousness Physical Activity,CP5,I enjoy pushing through challenges to complete my workouts.,
38,CR,Conscientousness Rest,CR1,"I maintain a consistent sleep schedule, even on weekends.",
39,CR,Conscientousness Rest,CR2,"I avoid screen time, food, or distractions before bed to protect my sleep quality.",
40,CR,Conscientousness Rest,CR3,I schedule rest and recovery days purposefully to avoid burnout.,
41,CR,Conscientousness Rest,CR4,I’m disciplined about winding down mentally before sleep.,
42,CR,Conscientousness Rest,CR5,"I prioritize quality rest, even when life gets hectic.",
43,CM,Conscientousness Mental Wellness,CM1,I regularly reflect on whether my habits are aligned with my goals.,
44,CM,Conscientousness Mental Wellness,CM2,"I journal, track, or review my mental and emotional well-being.",
45,CM,Conscientousness Mental Wellness,CM3,I’m methodical in how I work on my mindset or mental health.,
46,CM,Conscientousness Mental Wellness,CM4,I follow through on wellness strategies even when motivation is low.,
47,CM,Conscientousness Mental Wellness,CM5,I avoid impulsive actions that could derail my progress.,
48,EN,Extraversion Nutrition,EN1,I enjoy discussing nutrition or wellness with others.,
49,EN,Extraversion Nutrition,EN2,I’m more motivated to eat healthy when I’m part of a group or challenge.,
50,EN,Extraversion Nutrition,EN3,I like sharing meals with others who care about wellness.,
51,EN,Extraversion Nutrition,EN4,I enjoy being influenced by others’ healthy habits.,
52,EN,Extraversion Nutrition,EN5,"I find energy and joy in shared food experiences (e.g., meal prep groups, social dining).",
53,EP,Extraversion Physical Activity,EP1,"I prefer group workouts, classes, or team sports over solo exercise.",
54,EP,Extraversion Physical Activity,EP2,I’m more consistent with my workouts when I have accountability partners.,
55,EP,Extraversion Physical Activity,EP3,I feel energized by high-intensity or dynamic fitness environments.,
56,EP,Extraversion Physical Activity,EP4,I like participating in fitness challenges or competitions.,
57,EP,Extraversion Physical Activity,EP5,I get bored easily when exercising alone or in silence.,
58,ER,Extraversion Rest,ER1,I struggle to wind down when I’m alone for too long.,
59,ER,Extraversion Rest,ER2,I find it easier to relax when others are doing the same with me.,
60,ER,Extraversion Rest,ER3,"I feel energized by active social recovery (e.g., walks, spa days with friends).",
61,ER,Extraversion Rest,ER4,I prefer guided recovery sessions or group meditations over doing it solo.,
62,ER,Extraversion Rest,ER5,I’m more motivated to sleep well when someone holds me accountable.,
63,EM,Extraversion Mental Wellness,EM1,I open up about my emotions more easily when I’m with others.,
64,EM,Extraversion Mental Wellness,EM2,I enjoy group discussions or podcasts about mindset and wellness.,
65,EM,Extraversion Mental Wellness,EM3,I thrive in wellness environments where people share and connect.,
66,EM,Extraversion Mental Wellness,EM4,I feel most mentally refreshed after social interaction.,
67,EM,Extraversion Mental Wellness,EM5,I often express my feelings out loud as a way to process them.,
68,AN,Agreeableness Nutrition,AN1,I encourage others to eat healthier or share wellness tips kindly.,
69,AN,Agreeableness Nutrition,AN2,I adapt my eating habits to avoid conflict or accommodate others.,
70,AN,Agreeableness Nutrition,AN3,I prefer harmony during shared meals and avoid pushing my preferences.,
71,AN,Agreeableness Nutrition,AN4,I enjoy preparing or sharing healthy meals with others.,
72,AN,Agreeableness Nutrition,AN5,I try to avoid judgment when people choose differently from me nutritionally.,
73,AP,Agreeableness Physical Activity,AP1,I feel motivated when others join me in physical activity.,
74,AP,Agreeableness Physical Activity,AP2,I offer support or encouragement to friends in their wellness efforts.,
75,AP,Agreeableness Physical Activity,AP3,I prefer collaborative or non-competitive forms of exercise.,
76,AP,Agreeableness Physical Activity,AP4,I’m patient with others who are starting their fitness journey.,
77,AP,Agreeableness Physical Activity,AP5,I try to be a positive influence in shared workout settings.,
78,AR,Agreeableness Rest,AR1,I respect others’ rest time and expect the same in return.,
79,AR,Agreeableness Rest,AR2,I value peaceful environments for winding down and recovery.,
80,AR,Agreeableness Rest,AR3,I avoid disturbing others when they’re resting or recharging.,
81,AR,Agreeableness Rest,AR4,I feel guilty if I prioritize my rest over others’ needs.,
82,AR,Agreeableness Rest,AR5,I tend to adjust my rest routine to match that of close friends or family.,
83,AM,Agreeableness Mental Wellness,AM1,I try to create emotional space for others to talk or heal.,
84,AM,Agreeableness Mental Wellness,AM2,I often prioritize others’ emotional needs over my own.,
85,AM,Agreeableness Mental Wellness,AM3,I am affected emotionally when people close to me are unwell.,
86,AM,Agreeableness Mental Wellness,AM4,I tend to downplay my stress to avoid burdening others.,
87,AM,Agreeableness Mental Wellness,AM5,"I prefer collaborative approaches to emotional wellness (e.g., peer support, counseling).",
88,NN,Neuroticism Nutrition,NN1,I tend to overeat or undereat when I feel emotionally stressed.,
89,NN,Neuroticism Nutrition,NN2,I often feel guilty after indulging in food.,
90,NN,Neuroticism Nutrition,NN3,I second-guess my food choices even when I’ve planned them.,
91,NN,Neuroticism Nutrition,NN4,I feel anxious when I deviate from a diet or nutrition plan.,
92,NN,Neuroticism Nutrition,NN5,I frequently seek emotional comfort through food.,
93,NP,Neuroticism Physical Activity,NP1,I get discouraged if I miss a workout or don’t perform well.,
94,NP,Neuroticism Physical Activity,NP2,I sometimes feel self-conscious about how I look when exercising.,
95,NP,Neuroticism Physical Activity,NP3,I avoid certain exercises for fear of doing them wrong or being judged.,
96,NP,Neuroticism Physical Activity,NP4,"I’m often too anxious or drained to begin working out, even if I want to.",
97,NP,Neuroticism Physical Activity,NP5,I worry more about failure than progress in fitness.,
98,NR,Neuroticism Rest,NR1,I have trouble falling asleep because my mind races with thoughts.,
99,NR,Neuroticism Rest,NR2,I feel guilty when I take time to rest or do nothing.,
100,NR,Neuroticism Rest,NR3,I frequently feel unrested even after sleep.,
101,NR,Neuroticism Rest,NR4,I worry that I’m not doing enough to “optimize” my recovery.,
102,NR,Neuroticism Rest,NR5,"I feel uneasy when my routine is disrupted, especially before bed.",
103,NM,Neuroticism Mental Wellness,NM1,I often feel overwhelmed by stress or emotion.,
104,NM,Neuroticism Mental Wellness,NM2,I experience strong emotional highs and lows in short periods.,
105,NM,Neuroticism Mental Wellness,NM3,I worry a lot about my health and wellness progress.,
106,NM,Neuroticism Mental Wellness,NM4,I struggle to stay mentally present when I feel off-track.,
107,NM,Neuroticism Mental Wellness,NM5,I ruminate over past failures or missed goals related to wellness.,
