"S.No.","Traits","Facet ID","Facet","Q.ID","Option A","Option B","Option C","Option D","Option E","Option F","Option G","Response","Facet Avg","Trait Avg","Self regulated planner","Social motivator","Stress-sensitive","Curious Explorer","Resilient Performer","Brittle/Avoidant"
"1","Openness","O-NC","Nutritional Curiosity","O-NC-1","1","2","3","4","5","6","7","4","3.5","3.5","0.25","1.21","1.21","8.41","1.21","0.49"
"2","Openness","O-NC","Nutritional Curiosity","O-NC-2","1","2","3","4","5","6","7","4","","","","","","","",""
"3","Openness","O-NC","Nutritional Curiosity","O-NC-3","1","2","3","4","5","6","7","2","","","","","","","",""
"4","Openness","O-NC","Nutritional Curiosity","O-NC-4","1","2","3","4","5","6","7","4","","","","","","","",""
"5","Openness","O-EI","Exercise Innovation","O-EI-1","1","2","3","4","5","6","7","4","3.5","","","","","","",""
"6","Openness","O-EI","Exercise Innovation","O-EI-2","1","2","3","4","5","6","7","4","","","","","","","",""
"7","Openness","O-EI","Exercise Innovation","O-EI-3","1","2","3","4","5","6","7","2","","","","","","","",""
"8","Openness","O-EI","Exercise Innovation","O-EI-4","1","2","3","4","5","6","7","4","","","","","","","",""
"9","Openness","O-RE","Recovery Experimentation","O-RE-1","1","2","3","4","5","6","7","4","3.5","","","","","","",""
"10","Openness","O-RE","Recovery Experimentation","O-RE-2","1","2","3","4","5","6","7","4","","","","","","","",""
"11","Openness","O-RE","Recovery Experimentation","O-RE-3","1","2","3","4","5","6","7","2","","","","","","","",""
"12","Openness","O-RE","Recovery Experimentation","O-RE-4","1","2","3","4","5","6","7","4","","","","","","","",""
"13","Openness","O-MB","Mind-Body Exploration","O-MB-1","1","2","3","4","5","6","7","4","3.5","","","","","","",""
"14","Openness","O-MB","Mind-Body Exploration","O-MB-2","1","2","3","4","5","6","7","4","","","","","","","",""
"15","Openness","O-MB","Mind-Body Exploration","O-MB-3","1","2","3","4","5","6","7","2","","","","","","","",""
"16","Openness","O-MB","Mind-Body Exploration","O-MB-4","1","2","3","4","5","6","7","4","","","","","","","",""
"17","Openness","O-SE","Science Engagement","O-SE-1","1","2","3","4","5","6","7","4","3.5","","","","","","",""
"18","Openness","O-SE","Science Engagement","O-SE-2","1","2","3","4","5","6","7","4","","","","","","","",""
"19","Openness","O-SE","Science Engagement","O-SE-3","1","2","3","4","5","6","7","2","","","","","","","",""
