Recommendation ID,Pillar,Recommendation Category,Type,Recommendation,Persona Fit,Context Fit,Goal Fit,Barrier Fit,Exclude If,Recommendation Strength,Notes / Rationale
SLP001,Sleep & Recovery,sleep_duration,do,Protect a realistic sleep opportunity window when your schedule allows.,all_personas,sleep_under_5_hours; sleep_5_6_hours; sleep_quality_poor,goal_sleep_improvement; goal_energy; goal_better_recovery,barrier_poor_sleep,exclude_shift_work_strict_sleep_schedule,core,Supports sleep duration without forcing unrealistic schedules.
SLP002,Sleep & Recovery,sleep_duration,first_action,Move bedtime earlier by 15–30 minutes for one week.,shielded_turtle; watchful_deer,sleep_under_5_hours; sleep_5_6_hours,goal_sleep_improvement; goal_energy,barrier_starting_difficulty; barrier_poor_sleep,exclude_none,core,Gradual shifts are easier to sustain than abrupt changes.
SLP003,Sleep & Recovery,sleep_duration,dont,Avoid sacrificing sleep for early morning workouts when recovery is poor.,watchful_deer; steadfast_bear,sleep_quality_poor; sleep_under_5_hours,goal_better_recovery; goal_energy,barrier_poor_sleep,exclude_poor_sleep_high_intensity,core,Prevents training from worsening recovery debt.
SLP004,Sleep & Recovery,sleep_timing,do,Use a consistent sleep and wake schedule where possible.,steady_elephant; steadfast_bear,sleep_quality_poor; sleep_quality_average; stress_high,goal_sleep_improvement; goal_energy,barrier_poor_sleep; barrier_lack_of_consistency,exclude_shift_work_strict_sleep_schedule,core,Stabilizes rhythm while allowing flexibility for shift workers.
SLP005,Sleep & Recovery,sleep_timing,do,Use morning light exposure to support a stable daily rhythm.,all_personas,sleep_quality_poor; work_remote; work_shift_based,goal_sleep_improvement; goal_energy,barrier_poor_sleep,exclude_none,supporting,Morning light is a practical circadian cue.
SLP006,Sleep & Recovery,sleep_timing,dont,Avoid large weekday-weekend sleep timing swings when possible.,steady_elephant; steadfast_bear,sleep_quality_poor; sleep_quality_average,goal_sleep_improvement,barrier_poor_sleep; barrier_lack_of_consistency,exclude_shift_work_strict_sleep_schedule,supporting,Large swings make sleep rhythm harder to stabilize.
SLP007,Sleep & Recovery,wind_down_routine,do,Use a repeatable 20–30 minute wind-down routine before bed.,steady_elephant; watchful_deer,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_mental_calm,barrier_poor_sleep; barrier_work_stress,exclude_none,core,Creates a predictable transition into rest.
SLP008,Sleep & Recovery,wind_down_routine,first_action,Choose one calming activity to repeat before bed for seven nights.,shielded_turtle; curious_fox,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_mental_calm,barrier_starting_difficulty; barrier_poor_sleep,exclude_none,core,One repeatable cue is easier than a complex routine.
SLP009,Sleep & Recovery,wind_down_routine,dont,Avoid intense work or high-stimulation activity immediately before bed.,watchful_deer; curious_fox,stress_high; sleep_quality_poor,goal_sleep_improvement; goal_stress_reduction,barrier_work_stress; barrier_poor_sleep,exclude_none,supporting,Reduces mental activation before sleep.
SLP010,Sleep & Recovery,screen_light_management,environment_change,Keep your phone away from the bed if scrolling delays sleep.,shielded_turtle; watchful_deer,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_mental_calm,barrier_poor_sleep; barrier_low_activation_energy,exclude_none,core,Reduces automatic bedtime scrolling.
SLP011,Sleep & Recovery,screen_light_management,dont,Avoid scrolling in bed as your final activity before sleep.,watchful_deer; shielded_turtle,sleep_quality_poor; stress_high,goal_sleep_improvement,barrier_poor_sleep,exclude_none,core,Helps the bed remain associated with rest.
SLP012,Sleep & Recovery,screen_light_management,environment_change,Dim lights 30–60 minutes before bedtime.,all_personas,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_mental_calm,barrier_poor_sleep,exclude_none,core,Lower light supports pre-sleep winding down.
SLP013,Sleep & Recovery,sleep_environment,environment_change,"Keep the bedroom cool, dark, and quiet where possible.",all_personas,sleep_quality_poor; sleep_quality_average,goal_sleep_improvement; goal_better_recovery,barrier_poor_sleep,exclude_none,core,Improves the physical conditions for sleep continuity.
SLP014,Sleep & Recovery,sleep_environment,environment_change,Use blackout curtains or an eye mask if light wakes you.,all_personas,sleep_quality_poor,goal_sleep_improvement,barrier_poor_sleep,exclude_none,optional,Useful only for light-sensitive sleepers.
